TestCaseReference,4_6_Gloss_NextDay,4_6_Gloss_Hour,4_6_Matte_NextDay,4_6_Matte_Hour,5_7_Gloss_NextDay,5_7_Gloss_Hour,5_7_Matte_NextDay,5_7_Matte_Hour,8_10_Gloss_NextDay,8_10_Gloss_Hour,8_10_Matte_NextDay,8_10_Matte_Hour,Discount Code,Expected_Total
TC_1,0,0,0,0,0,0,0,0,0,0,0,0,,$0.00 
TC_2,1,0,0,0,0,0,0,0,0,0,0,0,,$0.14 
TC_3,50,0,0,0,0,0,0,0,0,0,0,0,,$7.00 
TC_4,51,0,0,0,0,0,0,0,0,0,0,0,,$7.12 
TC_5,75,0,0,0,0,0,0,0,0,0,0,0,,$10.00 
TC_6,76,0,0,0,0,0,0,0,0,0,0,0,,$10.10 
TC_7,100,0,0,0,0,0,0,0,0,0,0,0,N56M2,$10.00 
TC_8,101,0,0,0,0,0,0,0,0,0,0,0,,$0.00 
TC_9,0,0,0,0,0,0,0,0,0,0,0,0,,$0.00 
TC_10,0,0,1,0,0,0,0,0,0,0,0,0,,$0.16 
TC_11,0,0,50,0,0,0,0,0,0,0,0,0,,$8.00 
TC_12,0,0,51,0,0,0,0,0,0,0,0,0,,$8.14 
TC_13,0,0,75,0,0,0,0,0,0,0,0,0,,$11.50 
TC_14,0,0,76,0,0,0,0,0,0,0,0,0,,$11.60 
TC_15,0,0,100,0,0,0,0,0,0,0,0,0,N56M2,$12.00 
TC_16,0,0,101,0,0,0,0,0,0,0,0,0,,$0.00 
TC_17,0,0,0,0,0,0,0,0,0,0,0,0,,$0.00 
TC_18,0,0,0,0,1,0,0,0,0,0,0,0,,$0.34 
TC_19,0,0,0,0,50,0,0,0,0,0,0,0,,$17.00 
TC_20,0,0,0,0,51,0,0,0,0,0,0,0,,$17.31 
TC_21,0,0,0,0,75,0,0,0,0,0,0,0,,$24.75 
TC_22,0,0,0,0,76,0,0,0,0,0,0,0,,$25.03 
TC_23,0,0,0,0,100,0,0,0,0,0,0,0,N56M2,$29.25 
TC_24,0,0,0,0,101,0,0,0,0,0,0,0,,$0.00 
TC_25,0,0,0,0,0,0,0,0,0,0,0,0,,$0.00 
TC_26,0,0,0,0,0,0,1,0,0,0,0,0,,$0.37 
TC_27,0,0,0,0,0,0,50,0,0,0,0,0,,$18.50 
TC_28,0,0,0,0,0,0,51,0,0,0,0,0,,$18.83 
TC_29,0,0,0,0,0,0,75,0,0,0,0,0,,$26.75 
TC_30,0,0,0,0,0,0,76,0,0,0,0,0,,$27.06 
TC_31,0,0,0,0,0,0,100,0,0,0,0,0,N56M2,$32.00 
TC_32,0,0,0,0,0,0,101,0,0,0,0,0,,$0.00 
TC_33,0,0,0,0,0,0,0,0,0,0,0,0,,$0.00 
TC_34,0,0,0,0,0,0,0,0,1,0,0,0,,$0.68 
TC_35,0,0,0,0,0,0,0,0,50,0,0,0,,$34.00 
TC_36,0,0,0,0,0,0,0,0,51,0,0,0,,$34.64 
TC_37,0,0,0,0,0,0,0,0,75,0,0,0,,$47.50 
TC_38,0,0,0,0,0,0,0,0,76,0,0,0,,$48.07 
TC_39,0,0,0,0,0,0,0,0,100,0,0,0,N56M2,$61.27 
TC_40,0,0,0,0,0,0,0,0,101,0,0,0,,$0.00 
TC_41,0,0,0,0,0,0,0,0,0,0,0,0,,$0.00 
TC_42,0,0,0,0,0,0,0,0,0,0,1,0,,$0.72 
TC_43,0,0,0,0,0,0,0,0,0,0,50,0,,$34.20 
TC_44,0,0,0,0,0,0,0,0,0,0,51,0,,$34.85 
TC_45,0,0,0,0,0,0,0,0,0,0,75,0,,$50.35 
TC_46,0,0,0,0,0,0,0,0,0,0,76,0,,$50.96 
TC-47,0,0,0,0,0,0,0,0,0,0,100,0,N56M2,$65.07 
TC_48,0,0,0,0,0,0,0,0,0,0,101,0,,$0.00 
TC_49,0,0,0,0,0,0,0,0,0,0,0,0,,$0.00 
TC_50,0,1,0,0,0,0,0,0,0,0,0,0,,$1.14 
TC_51,0,50,0,0,0,0,0,0,0,0,0,0,,$8.00 
TC_52,0,51,0,0,0,0,0,0,0,0,0,0,,$8.12 
TC_53,0,60,0,0,0,0,0,0,0,0,0,0,,$9.20 
TC_54,0,61,0,0,0,0,0,0,0,0,0,0,,$9.82 
TC_55,0,75,0,0,0,0,0,0,0,0,0,0,,$11.50 
TC_56,0,76,0,0,0,0,0,0,0,0,0,0,,$11.60 
TC_57,0,100,0,0,0,0,0,0,0,0,0,0,N56M2,$11.50 
TC_58,0,101,0,0,0,0,0,0,0,0,0,0,,$0.00 
TC_59,0,0,0,0,0,0,0,0,0,0,0,0,,$0.00 
TC_60,0,0,0,1,0,0,0,0,0,0,0,0,,$1.16 
TC_61,0,0,0,50,0,0,0,0,0,0,0,0,,$9.00 
TC_62,0,0,0,51,0,0,0,0,0,0,0,0,,$9.14 
TC_63,0,0,0,60,0,0,0,0,0,0,0,0,,$10.40 
TC_64,0,0,0,61,0,0,0,0,0,0,0,0,,$10.54 
TC_65,0,0,0,75,0,0,0,0,0,0,0,0,,$13.00 
TC_66,0,0,0,76,0,0,0,0,0,0,0,0,,$13.10 
TC_67,0,0,0,100,0,0,0,0,0,0,0,0,N56M2,$13.50 
TC_68,0,0,0,101,0,0,0,0,0,0,0,0,,$0.00 
TC_69,0,0,0,0,0,0,0,0,0,0,0,0,,$0.00 
TC_70,0,0,0,0,0,1,0,0,0,0,0,0,,$1.34 
TC_71,0,0,0,0,0,50,0,0,0,0,0,0,,$18.00 
TC_72,0,0,0,0,0,51,0,0,0,0,0,0,,$16.81 
TC_73,0,0,0,0,0,60,0,0,0,0,0,0,,$19.60 
TC_74,0,0,0,0,0,61,0,0,0,0,0,0,,$20.41 
TC_75,0,0,0,0,0,75,0,0,0,0,0,0,,$24.75 
TC_76,0,0,0,0,0,76,0,0,0,0,0,0,,$22.78 
TC_77,0,0,0,0,0,100,0,0,0,0,0,0,N56M2,$27.50 
TC_78,0,0,0,0,0,101,0,0,0,0,0,0,,0
TC_79,0,0,0,0,0,0,0,0,0,0,0,0,,$0.00 
TC_80,0,0,0,0,0,0,0,1,0,0,0,0,,$1.37 
TC_81,0,0,0,0,0,0,0,50,0,0,0,0,,$20 
TC_82,0,0,0,0,0,0,0,51,0,0,0,0,,$18.34 
TC_83,0,0,0,0,0,0,0,60,0,0,0,0,,$21.40 
TC_84,0,0,0,0,0,0,0,61,0,0,0,0,,$22.24 
TC_85,0,0,0,0,0,0,0,75,0,0,0,0,,$27 
TC_86,0,0,0,0,0,0,0,76,0,0,0,0,,$25.06 
TC_87,0,0,0,0,0,0,0,100,0,0,0,0,N56M2,$30.50 
TC_88,0,0,0,0,0,0,0,101,0,0,0,0,,0
TC_89,0,0,0,0,0,0,0,0,0,0,0,0,,$0.00 
TC_90,0,0,0,0,0,0,0,0,0,1,0,0,,$1.68 
TC_91,0,0,0,0,0,0,0,0,0,50,0,0,,$35 
TC_92,0,0,0,0,0,0,0,0,0,51,0,0,,$33.64 
TC_93,0,0,0,0,0,0,0,0,0,60,0,0,,$37.43 
TC_94,0,0,0,0,0,0,0,0,0,61,0,0,,$38.51 
TC_95,0,0,0,0,0,0,0,0,0,75,0,0,,$47.03 
TC_96,0,0,0,0,0,0,0,0,0,76,0,0,,$44.75 
TC_97,0,0,0,0,0,0,0,0,0,100,0,0,N56M2,$56.53 
TC_98,0,0,0,0,0,0,0,0,0,101,0,0,,0
TC_99,0,0,0,0,0,0,0,0,0,0,0,0,,$0.00 
TC_100,0,0,0,0,0,0,0,0,0,0,0,1,,$1.72 
TC_101,0,0,0,0,0,0,0,0,0,0,0,50,,$35.15 
TC_102,0,0,0,0,0,0,0,0,0,0,0,51,,$33.90 
TC_103,0,0,0,0,0,0,0,0,0,0,0,60,,$39.71 
TC_104,0,0,0,0,0,0,0,0,0,0,0,61,,$40.83 
TC_105,0,0,0,0,0,0,0,0,0,0,0,75,,$49.87 
TC_106,0,0,0,0,0,0,0,0,0,0,0,76,,$47.63 
TC_107,0,0,0,0,0,0,0,0,0,0,0,100,N56M2,$60.32 
TC_108,0,0,0,0,0,0,0,0,0,0,0,101,,0
