TestCaseReference,4_6_Gloss_NextDay,4_6_Gloss_Hour,4_6_Matte_NextDay,4_6_Matte_Hour,5_7_Gloss_NextDay,5_7_Gloss_Hour,5_7_Matte_NextDay,5_7_Matte_Hour,8_10_Gloss_NextDay,8_10_Gloss_Hour,8_10_Matte_NextDay,8_10_Matte_Hour,Discount Code,Expected_Total
ETC1,5,0,5,0,5,0,5,0,20,0,20,0, ,37.53 
ETC2,10,0,5,0,10,0,5,0,15,0,15,0, ,34.10 
ETC3,5,0,10,0,5,0,10,0,15,0,15,0, ,34.60 
ETC4,6,0,5,0,5,0,5,0,20,0,20,0, ,37.71 
ETC5,10,0,6,0,10,0,5,0,15,0,15,0, ,34.33 
ETC6,10,0,5,0,6,0,5,0,15,0,20,0, ,35.05 
ETC7,10,0,10,0,10,0,10,0,10,0,0,0, ,20.50 
ETC8,7,0,7,0,7,0,7,0,16,0,15,0, ,34.51 
ETC9,9,0,9,0,9,0,9,0,13,0,10,0, ,30.31 
ETC10,20,0,7,0,20,0,5,0,5,0,5,0, ,23.76 
ETC11,15,0,7,0,10,0,7,0,12,0,11,0, ,30.56 
ETC12,8,0,8,0,8,0,8,0,15,0,15,0, ,34.98 
ETC13,1,0,1,0,1,0,1,0,50,0,0,0, ,38.72 
ETC14,1,0,2,0,0,0,1,0,51,0,1,0, ,40.15 
ETC15,10,0,11,0,8,0,2,0,45,0,0,0, ,41.80 
ETC16,4,0,5,0,5,0,0,0,51,0,0,0, ,41.94 
ETC17,20,0,4,0,25,0,15,0,35,0,1,0, ,47.25 
ETC18,4,0,4,0,4,0,0,0,53,0,2,0, ,44.51 
ETC19,60,0,0,0,4,0,0,0,36,0,0,0, ,39.33 
ETC20,12,0,0,0,8,0,1,0,76,0,1,0, ,63.42 
