TestCaseReference,4_6_Gloss_NextDay,4_6_Gloss_Hour,4_6_Matte_NextDay,4_6_Matte_Hour,5_7_Gloss_NextDay,5_7_Gloss_Hour,5_7_Matte_NextDay,5_7_Matte_Hour,8_10_Gloss_NextDay,8_10_Gloss_Hour,8_10_Matte_NextDay,8_10_Matte_Hour,Discount Code,Expected_Total
HOTC_1,0,0,0,0,0,0,0,0,0,0,0,0, ,0
HOTC_2,1,0,0,0,0,0,0,0,0,0,0,0, ,0.14
HOTC_3,25,0,0,0,0,0,0,0,0,0,0,0, ,3.5
HOTC_4,50,0,0,0,0,0,0,0,0,0,0,0, ,7
HOTC_5,51,0,0,0,0,0,0,0,0,0,0,0, ,7.12
HOTC_6,65,0,0,0,0,0,0,0,0,0,0,0, ,8.8
HOTC_7,75,0,0,0,0,0,0,0,0,0,0,0, ,10
HOTC_8,76,0,0,0,0,0,0,0,0,0,0,0, ,10.1
HOTC_9,85,0,0,0,0,0,0,0,0,0,0,0, ,11
HOTC-10,100,0,0,0,0,0,0,0,0,0,0,0,N56M2,10.5
HOTC-11,101,0,0,0,0,0,0,0,0,0,0,0, ,0
HOTC_12,0,0,0,0,0,0,0,0,0,0,0,0, ,0
HOTC_13,0,0,1,0,0,0,0,0,0,0,0,0, ,0.16
HOTC_14,0,0,25,0,0,0,0,0,0,0,0,0, ,4
HOTC_15,0,0,50,0,0,0,0,0,0,0,0,0, ,8
HOTC_16,0,0,51,0,0,0,0,0,0,0,0,0, ,8.14
HOTC_17,0,0,65,0,0,0,0,0,0,0,0,0, ,10.1
HOTC_18,0,0,75,0,0,0,0,0,0,0,0,0, ,11.5
HOTC_19,0,0,76,0,0,0,0,0,0,0,0,0, ,11.62
HOTC_20,0,0,85,0,0,0,0,0,0,0,0,0, ,12.7
HOTC_21,0,0,100,0,0,0,0,0,0,0,0,0,N56M2,12.5
HOTC_22,0,0,101,0,0,0,0,0,0,0,0,0, ,0
HOTC_23,0,0,0,0,0,0,0,0,0,0,0,0, ,0
HOTC_24,0,0,0,0,1,0,0,0,0,0,0,0, ,0.34
HOTC_25,0,0,0,0,25,0,0,0,0,0,0,0, ,8.5
HOTC_26,0,0,0,0,50,0,0,0,0,0,0,0, ,17
HOTC_27,0,0,0,0,51,0,0,0,0,0,0,0, ,17.31
HOTC_28,0,0,0,0,65,0,0,0,0,0,0,0, ,21.65
HOTC_29,0,0,0,0,75,0,0,0,0,0,0,0, ,24.75
HOTC_30,0,0,0,0,76,0,0,0,0,0,0,0, ,25.03
HOTC_31,0,0,0,0,85,0,0,0,0,0,0,0, ,27.55
HOTC_32,0,0,0,0,100,0,0,0,0,0,0,0,N56M2,29.75
HOTC_33,0,0,0,0,101,0,0,0,0,0,0,0, ,0
HOTC_34,0,0,0,0,0,0,0,0,0,0,0,0, ,0
HOTC_35,0,0,0,0,0,0,1,0,0,0,0,0, ,0.37
HOTC_36,0,0,0,0,0,0,25,0,0,0,0,0, ,9.25
HOTC_37,0,0,0,0,0,0,50,0,0,0,0,0, ,18.5
HOTC_38,0,0,0,0,0,0,51,0,0,0,0,0, ,18.84
HOTC_39,0,0,0,0,0,0,65,0,0,0,0,0, ,23.6
HOTC_40,0,0,0,0,0,0,75,0,0,0,0,0, ,27
HOTC_41,0,0,0,0,0,0,76,0,0,0,0,0, ,27.31
HOTC-42,0,0,0,0,0,0,85,0,0,0,0,0, ,30.1
HOTC_43,0,0,0,0,0,0,100,0,0,0,0,0,N56M2,32.75
HOTC_44,0,0,0,0,0,0,101,0,0,0,0,0, ,0
HOTC_45,0,0,0,0,0,0,0,0,0,0,0,0, ,0
HOTC_46,0,0,0,0,0,0,0,0,1,0,0,0, ,0.68
HOTC_47,0,0,0,0,0,0,0,0,25,0,0,0, ,17
HOTC_48,0,0,0,0,0,0,0,0,50,0,0,0, ,34
HOTC_49,0,0,0,0,0,0,0,0,51,0,0,0, ,34.64
HOTC_50,0,0,0,0,0,0,0,0,65,0,0,0, ,41.42
HOTC_51,0,0,0,0,0,0,0,0,75,0,0,0, ,47.50
HOTC_52,0,0,0,0,0,0,0,0,76,0,0,0, ,48.07
HOTC_53,0,0,0,0,0,0,0,0,85,0,0,0, ,53.20
HOTC_54,0,0,0,0,0,0,0,0,100,0,0,0,N56M2,61.75
HOTC_55,0,0,0,0,0,0,0,0,101,0,0,0, ,0
HOTC_56,0,0,0,0,0,0,0,0,0,0,0,0, ,0
HOTC_57,0,0,0,0,0,0,0,0,0,0,1,0, ,0.72
HOTC_58,0,0,0,0,0,0,0,0,0,0,25,0, ,18
HOTC_59,0,0,0,0,0,0,0,0,0,0,50,0, ,34.20
HOTC_60,0,0,0,0,0,0,0,0,0,0,51,0, ,34.85
HOTC_61,0,0,0,0,0,0,0,0,0,0,65,0, ,43.89
HOTC_62,0,0,0,0,0,0,0,0,0,0,75,0, ,50.35
HOTC_63,0,0,0,0,0,0,0,0,0,0,76,0, ,50.96
HOTC_64,0,0,0,0,0,0,0,0,0,0,85,0, ,56.43
HOTC_65,0,0,0,0,0,0,0,0,0,0,100,0,N56M2,65.55
HOTC_66,0,0,0,0,0,0,0,0,0,0,101,0, ,0
HOTC_67,0,0,0,0,0,0,0,0,0,0,0,0, ,0
HOTC_68,0,1,0,0,0,0,0,0,0,0,0,0, ,1.14
HOTC_69,0,25,0,0,0,0,0,0,0,0,0,0, ,4.5
HOTC_70,0,50,0,0,0,0,0,0,0,0,0,0, ,8
HOTC_71,0,51,0,0,0,0,0,0,0,0,0,0, ,8.12
HOTC_72,0,60,0,0,0,0,0,0,0,0,0,0, ,9.2
HOTC_73,0,61,0,0,0,0,0,0,0,0,0,0, ,9.82
HOTC_74,0,65,0,0,0,0,0,0,0,0,0,0, ,10.3
HOTC_75,0,75,0,0,0,0,0,0,0,0,0,0, ,11.5
HOTC_76,0,76,0,0,0,0,0,0,0,0,0,0, ,11.6
HOTC_77,0,85,0,0,0,0,0,0,0,0,0,0, ,12.5
HOTC_78,0,100,0,0,0,0,0,0,0,0,0,0,N56M2,12
HOTC_79,0,101,0,0,0,0,0,0,0,0,0,0, ,0
HOTC_80,0,0,0,0,0,0,0,0,0,0,0,0, ,0
HOTC_81,0,0,0,1,0,0,0,0,0,0,0,0, ,1.16
HOTC_82,0,0,0,25,0,0,0,0,0,0,0,0, ,5
HOTC_83,0,0,0,50,0,0,0,0,0,0,0,0, ,9
HOTC_84,0,0,0,51,0,0,0,0,0,0,0,0, ,9.14
HOTC_85,0,0,0,60,0,0,0,0,0,0,0,0, ,10.4
HOTC_86,0,0,0,61,0,0,0,0,0,0,0,0, ,11.04
